Depth,SdlCounts,SdlArea
472.45,9,0.0784
472.45,9,0.0396
472.45,9,0.1007
473.47,9,0.2096
473.47,9,0.0597
473.47,9,0.0709
473.47,9,0.1969
473.47,9,0.0213
473.47,9,0.4048
473.47,9,0.0483
473.47,9,0.02
473.47,9,0.0281
474.49,2,0.0375
474.49,2,0.0703
475.51,1,0.0156
476.53,5,0.0375
476.53,5,0.0183
476.53,5,0.0336
476.53,5,0.0263
476.53,5,0.01
477.55,3,0.036
477.55,3,0.0871
477.55,3,0.046
478.57,1,0.0184
479.59,1,0.0305
480.61,4,0.0515
480.61,4,0.0405
480.61,4,0.1056
480.61,4,0.0187
481.63,1,0.0286
482.65,0,0
483.67,5,0.0494
483.67,5,0.0633
483.67,5,0.0864
483.67,5,0.043
483.67,5,0.0133
484.69,2,0.0223
484.69,2,0.0342
485.71,4,0.0246
485.71,4,0.0405
485.71,4,0.0242
485.71,4,0.0531
486.73,0,0
487.76,1,0.0296
488.78,3,0.0083
488.78,3,0.0057
488.78,3,0.0318
489.8,3,0.0189
489.8,3,0.0197
489.8,3,0.0141
490.82,11,0.022
490.82,11,0.0645
490.82,11,0.0202
490.82,11,0.0177
490.82,11,0.0097
490.82,11,0.0153
490.82,11,0.0194
490.82,11,0.0391
490.82,11,0.0558
490.82,11,0.0148
490.82,11,0.0145
491.84,1,0.0367
492.86,2,0.0431
492.86,2,0.0472
493.88,6,0.0177
493.88,6,0.1457
493.88,6,0.1202
493.88,6,0.0104
493.88,6,0.0079
493.88,6,0.0978
494.9,1,0.0821
495.92,3,0.0504
495.92,3,0.0287
495.92,3,0.0733
496.94,1,0.013
497.96,6,0.0357
497.96,6,0.0782
497.96,6,0.0212
497.96,6,0.0847
497.96,6,0.0718
497.96,6,0.0385
498.57,2,0.0274
498.57,2,0.0263
499.18,0,0
499.78,0,0
500.39,0,0
501,1,0.0353
502,7,0.0232
502,7,0.0282
502,7,0.0192
502,7,0.1503
502,7,0.1534
502,7,0.0344
502,7,0.0575
503,6,0.0598
503,6,0.0346
503,6,0.0542
503,6,0.0667
503,6,0.0461
503,6,0.0395
504,7,0.0253
504,7,0.0434
504,7,0.029
504,7,0.0826
504,7,0.0266
504,7,0.0174
504,7,0.0429
505,2,0.0668
505,2,0.0209
506,3,0.0369
506,3,0.0192
506,3,0.0312
507,2,0.0539
507,2,0.0744
508,3,0.0309
508,3,0.0471
508,3,0.033
509,5,0.0159
509,5,0.0492
509,5,0.0922
509,5,0.0292
509,5,0.0322
510,3,0.0612
510,3,0.0399
510,3,0.0328
511,3,0.0633
511,3,0.0255
511,3,0.0183
512,1,0.0387
513,4,0.0421
513,4,0.0176
513,4,0.0478
513,4,0.0113
514,5,0.0298
514,5,0.0485
514,5,0.1239
514,5,0.0241
514,5,0.014
515,1,0.0615
516,2,0.1057
516,2,0.0209
517,1,0.0443
518,0,0
519,2,0.0974
519,2,0.0168
520,2,0.0133
520,2,0.0787
521,4,0.1486
521,4,0.0149
521,4,0.0195
521,4,0.0349
522,10,0.0359
522,10,0.0337
522,10,0.0275
522,10,0.0434
522,10,0.0886
522,10,0.059
522,10,0.0581
522,10,0.1086
522,10,0.0959
522,10,0.1687
523,0,0
524,1,0.0142
525,2,0.0492
525,2,0.0144
526,3,0.0191
526,3,0.0146
526,3,0.0062
527,8,0.0781
527,8,0.0221
527,8,0.0645
527,8,0.0617
527,8,0.062
527,8,0.0942
527,8,0.1285
527,8,0.0843
528,1,0.0031
529,3,0.0424
529,3,0.0305
529,3,0.0146
530,0,0
531,1,0.6565
532,0,0
533,5,0.0534
533,5,0.0066
533,5,0.0021
533,5,0.0565
533,5,0.0135
534,9,0.1103
534,9,0.0185
534,9,0.0358
534,9,0.0127
534,9,0.0173
534,9,0.108
534,9,0.0482
534,9,0.0607
534,9,0.0441
535,8,0.0582
535,8,0.0543
535,8,0.0329
535,8,0.0398
535,8,0.0114
535,8,0.0222
535,8,0.0071
535,8,0.0222
536,10,0.0374
536,10,0.0586
536,10,0.0365
536,10,0.0937
536,10,0.0772
536,10,0.0292
536,10,0.0335
536,10,0.0075
536,10,0.008
536,10,0.0059
537,16,0.0194
537,16,0.0355
537,16,0.0407
537,16,0.1653
537,16,0.0673
537,16,0.1007
537,16,0.0973
537,16,0.2114
537,16,0.1161
537,16,0.0378
537,16,0.0362
537,16,0.0826
537,16,0.0195
537,16,0.0328
537,16,0.0212
537,16,0.0429
538,9,0.0339
538,9,0.0605
538,9,0.0553
538,9,0.0708
538,9,0.0408
538,9,0.0631
538,9,0.0569
538,9,0.0677
538,9,0.0619
539,10,0.1239
539,10,0.3607
539,10,0.0441
539,10,0.0811
539,10,0.0281
539,10,0.0494
539,10,0.0947
539,10,0.109
539,10,0.0198
539,10,0.0176
540,6,0.0174
540,6,0.5646
540,6,0.0314
540,6,0.0316
540,6,0.0273
540,6,0.0281
541,33,0.037
541,33,0.0234
541,33,0.0457
541,33,0.0253
541,33,0.0169
541,33,0.0415
541,33,0.0135
541,33,0.0317
541,33,0.0593
541,33,0.018
541,33,0.072
541,33,0.1352
541,33,0.0583
541,33,0.027
541,33,0.1314
541,33,0.0451
541,33,0.0252
541,33,0.0605
541,33,0.035
541,33,0.0115
541,33,0.081
541,33,0.0422
541,33,0.0557
541,33,0.0259
541,33,0.0473
541,33,0.0168
541,33,0.0357
541,33,0.0436
541,33,0.0542
541,33,0.0269
541,33,0.0314
541,33,0.0582
541,33,0.0442
542,35,0.0202
542,35,0.0121
542,35,0.0065
542,35,0.0228
542,35,0.0296
542,35,0.0125
542,35,0.0103
542,35,0.0183
542,35,0.0141
542,35,0.0214
542,35,0.0038
542,35,0.0183
542,35,0.0287
542,35,0.0151
542,35,0.0179
542,35,0.0077
542,35,0.0323
542,35,0.0313
542,35,0.016
542,35,0.0143
542,35,0.0344
542,35,0.0231
542,35,0.0152
542,35,0.024
542,35,0.0353
542,35,0.0274
542,35,0.0229
542,35,0.0252
542,35,0.0114
542,35,0.0159
542,35,0.0912
542,35,0.0119
542,35,0.0079
542,35,0.0251
542,35,0.0376
543,4,0.0358
543,4,0.0731
543,4,0.086
543,4,0.0268
544,5,0.0243
544,5,0.0312
544,5,0.0053
544,5,0.0112
544,5,0.0083
545,1,0.0487
546,6,0.06
546,6,0.0637
546,6,0.0675
546,6,0.0383
546,6,0.0543
546,6,0.0126
547,4,0.1116
547,4,0.0698
547,4,0.0586
547,4,0.0472
548,25,0.0432
548,25,0.0054
548,25,0.0312
548,25,0.0529
548,25,0.0399
548,25,0.0364
548,25,0.0267
548,25,0.0398
548,25,0.0353
548,25,0.0218
548,25,0.1357
548,25,0.0734
548,25,0.0382
548,25,0.0931
548,25,0.0213
548,25,0.0085
548,25,0.0379
548,25,0.1421
548,25,0.0504
548,25,0.0339
548,25,0.1056
548,25,0.0666
548,25,0.0296
548,25,0.0483
548,25,0.0498
549,2,0.0028
549,2,0.0038
550,53,0.0761
550,53,0.0111
550,53,0.0083
550,53,0.0325
550,53,0.0558
550,53,0.058
550,53,0.0049
550,53,0.0289
550,53,0.0278
550,53,0.0396
550,53,0.0333
550,53,0.0895
550,53,0.2583
550,53,0.0386
550,53,0.0631
550,53,0.0163
550,53,0.0439
550,53,0.0296
550,53,0.0318
550,53,0.1272
550,53,0.1279
550,53,0.063
550,53,0.086
550,53,0.0287
550,53,0.0304
550,53,0.0303
550,53,0.3858
550,53,0.023
550,53,0.0325
550,53,0.0383
550,53,0.0586
550,53,0.0629
550,53,0.0258
550,53,0.127
550,53,0.3025
550,53,0.0373
550,53,0.0248
550,53,0.2289
550,53,0.5437
550,53,0.0656
550,53,0.0984
550,53,0.1769
550,53,0.0654
550,53,0.0255
550,53,0.0192
550,53,0.0397
550,53,0.0418
550,53,0.035
550,53,0.0615
550,53,0.0267
550,53,0.3575
550,53,0.055
550,53,0.0358
