Depth,Age_calBP,SmplCount,SmplArea
454.08,9253,3,0.1367
455.1,9270,6,0.1978
456.12,9286,3,0.0555
457.14,9302,2,0.1205
458.16,9317,1,0.3337
459.18,9332,8,0.7541
460.2,9346,2,0.0583
461.22,9360,3,0.0712
462.24,9374,2,0.095
463.27,9387,9,0.9699
464.29,9400,11,0.3979
465.31,9413,4,0.3658
466.33,9425,12,0.8167
467.35,9438,7,0.2715
468.37,9450,11,0.4177
469.39,9461,9,0.866
470.41,9473,13,0.7874
471.43,9484,9,0.5768
472.45,9496,9,0.685
473.47,9507,9,1.0596
474.49,9518,2,0.1078
475.51,9529,1,0.0156
476.53,9540,5,0.1257
477.55,9551,3,0.1691
478.57,9562,1,0.0184
479.59,9573,1,0.0305
480.61,9584,4,0.2163
481.63,9595,1,0.0286
482.65,9606,0,0
483.67,9618,5,0.2554
484.69,9629,2,0.0565
485.71,9641,4,0.1424
486.73,9652,0,0
487.76,9665,1,0.0296
488.78,9677,3,0.0458
489.8,9689,3,0.0527
490.82,9702,11,0.293
491.84,9715,1,0.0367
492.86,9728,2,0.0903
493.88,9742,6,0.3997
494.9,9756,1,0.0821
495.92,9770,3,0.1524
496.94,9785,1,0.013
497.96,9800,6,0.3301
498.57,9809,2,0.0537
499.18,9819,0,0
499.78,9828,0,0
500.39,9838,0,0
501,9848,1,0.0353
502,9865,7,0.4662
503,9882,6,0.3009
504,9900,7,0.2672
505,9918,2,0.0877
506,9937,3,0.0873
507,9956,2,0.1283
508,9976,3,0.111
509,9997,5,0.2187
510,10018,3,0.1339
511,10039,3,0.1071
512,10060,1,0.0387
513,10082,4,0.1188
514,10104,5,0.2403
515,10127,1,0.0615
516,10150,2,0.1266
517,10172,1,0.0443
518,10195,0,0
519,10218,2,0.1142
520,10242,2,0.092
521,10265,4,0.2179
522,10288,10,0.7194
523,10311,0,0
524,10334,1,0.0142
525,10358,2,0.0636
526,10382,3,0.0399
527,10406,8,0.5954
528,10431,1,0.0031
529,10457,3,0.0875
530,10483,0,0
531,10509,1,0.6565
532,10537,0,0
533,10565,5,0.1321
534,10595,9,0.4556
535,10625,8,0.2481
536,10657,10,0.3875
537,10690,16,1.1267
538,10724,9,0.5109
539,10759,10,0.9284
540,10796,6,0.7004
541,10834,33,1.4766
542,10874,35,0.7617
543,10916,4,0.2217
544,10960,5,0.0803
545,11005,1,0.0487
546,11052,6,0.2964
547,11102,4,0.2872
548,11153,25,1.267
549,11206,2,0.0066
550,11261,53,4.436
